grade,lesson_term,subject,unit_order,unit_name,lesson_order,lesson_name
g8,t2,s2,u2,,l2,"الدرس الثاني: الصناعة والتجارة"
g8,t2,s2,u2,,l1,"الدرس الأول: المعادن ومصادر الطاقة"
g8,t2,s2,u1,,l3,"الدرس الثالث: الثروة الحيوانية والسمكية في وطننا العربي"
g8,t2,s2,u1,,l2,"الدرس الثاني: المحاصيل الزراعية (خيرات في أرضنا)"
g8,t2,s2,u1,,l1,"الدرس الأول: الزراعة في وطننا العربي"
g8,t2,s1,u3,,l3,"اللغة العربية تنعى حظها"
g8,t2,s1,u3,,l2,"القراءة حياة للحياة"
g8,t2,s1,u3,,l1,"لغة خالدة"
g8,t2,s1,u2,,l4,"العلم واجب&gt;"
g8,t2,s1,u2,,l3,"عالم من ذهب"
g8,t2,s1,u2,,l2,"تبارك الله أحسن الخالقين"
g8,t2,s1,u2,,l1,"اختراعات عربية"
g8,t2,s1,u1,,l3,الفلاح
g8,t2,s1,u1,,l2,"الخلق كنز لايفنى"
g8,t2,s1,u1,,l1,"الكنز قبل أن يضيع"
g8,t1,s8,u3,,l2,"Lesson 2: Extinction"
g8,t1,s8,u3,,l1,"Lesson 1 : Fossils"
g8,t1,s8,u2,,l2,"Lesson 2 : Erosion of ozone layer and global warming"
g8,t1,s8,u2,,l1,"Lesson 1 :Atmospheric layers"
g8,t1,s8,u1,,l4,"Lesson 4 : water"
g8,t1,s8,u1,,l3,"Lesson 3 : Main groups in the modern periodic table"
g8,t1,s8,u1,,l2,"Lesson 2:
            Graduation of elements properties in the modern periodic table"
g8,t1,s8,u1,,l1,"Lesson 1:
            Attempts of elements classification"
g8,t1,s7,u5,,l4,"4-	Triangle inequality"
g8,t1,s7,u5,,l3,"3-	Comparing the lengths of sides in a triangle"
g8,t1,s7,u5,,l2,"2-	Comparing the measures of the angles of a triangle"
g8,t1,s7,u5,,l1,"1-	Inequality"
g8,t1,s7,u4,,l4,"4-	Corollaries of isosceles triangle theorems"
g8,t1,s7,u4,,l3,"3-	The isosceles triangle theorems"
g8,t1,s7,u4,,l2,"2-	The isosceles triangle"
g8,t1,s7,u4,,l1,"1-	The medians of a triangle"
g8,t1,s7,u3,,l3,"3-	Arithmetic mean, median and mode"
g8,t1,s7,u3,,l2,"2-	The ascending and descending cumulative frequency table and their graphical representation"
